"","identity_salience","answered_correctly","questions_attempted","accuracy","quantitativesatscore","enjoyment","mathtalent","testdifficulty","perceptionsofperformance","guesses","purpose","check","mathidentificationscore","awareness","filter_."
"28",1,4,12,0.333333,"around 680--can't remember exactly",3,4,4,5,"twice","examining the effects of cultural stereotypes in an academic setting",3,3.11111,1,1
"30",1,6,12,0.5,"I didn't take SAT",5,4,6,3,"4","Compare what we thought about our ability with how we actually performed.",2,3.55556,1,1
"32",2,4,9,0.444444,"2120",2,2,2,2,"2","I have no idea. It might be trying to correlate the amount of television and movies we watch and our math skills.",3,3.55556,1,1
"33",1,2,12,0.166667,"600-forgot",3,2,5,3,"a lot","The previous survey asks us if we think we are good at math (see how confident we are) and this survey shows how good we actuall",2,3,1,1
"34",1,9,12,0.75,"800",5,2,2,4,"not once","to see if the general stereotype of the math ability (asians are better at math, guys are better at math) actually is true",2,3,1,1
"35",1,2,7,0.285714,"SAT 710",4,2,6,2,"1~2 but left blank more than guessing","the kinds of foods we ate growing up affect our math skills?",2,2.66667,1,1
"36",1,5,10,0.5,"21",2,1,5,1,"6","The goal of this experiment was to see whether a student's math SAT/ACT test scores correlated with the results from this experi",3,2.33333,0,0
"37",2,5,12,0.416667,"SAT 670",4,5,2,4,"2 or 3","Find relationship between own perception of math skills and actual test results.",3,3.55556,1,1
"38",2,4,12,0.333333,"Sorry, I never took the SAT or ACT",3,4,5,1,"2","To see if a person's interest in math matches their knowledge and skills.",3,2.88889,1,1
"39",1,4,8,0.5,"SAT: 740",1,1,5,1,"at least 4","To see whether the type of environment we were raise in at home (first generation immigrant family, Asian, the influence of our ",2,2.77778,1,1
"40",2,7,12,0.583333,"SAT: 670",2,1,6,1,"5-6","Perhaps to determine math prowess based on major, age, race, etc.",3,1.77778,1,1
"41",1,3,9,0.333333,"SAT - 800",5,5,6,5,"2","To find correlation between self-worth after difficult task and culture",2,1,1,1
"42",2,7,12,0.583333,"780",5,4,3,4,"2","To gauge the effects of learning/memory?",1,3.11111,1,1
"43",1,3,11,0.272727,"700 (SAT) - 2010",3,4,5,4,"4","Performance on quantitative tasks compared with demographic information or cultural heritage (or based on priming of culture her",1,2.77778,1,1
"46",2,9,12,0.75,"forgot. 780?",6,4,2,4,"1","Probably testing overconfidence or something of the sort? I'm guessing it gave a time limit to make us feel like it was a test, ",3,3.77778,1,1
"47",2,6,9,0.666667,"780",5,4,5,4,"0","To see the relationship between how quantitative someone is and how logical they are",3,3.77778,1,1
"49",2,8,12,0.666667,"2100",6,6,3,5,"1","find if there is  certain stereotype to different ethnic or gender group",3,4.44444,0,0
"53",1,6,12,0.5,"did not take any of these exams",5,4,4,4,"1","compare different individual math ability",1,2.66667,1,1
"54",2,3,12,0.25,"SAT-600",1,1,6,2,"5","Examine cultural stereotypes in school subjects",2,1.55556,0,0
"55",2,4,6,0.666667,"750",5,4,4,3,"0","See what you think of your own math abilities with considerations for your ethnicity",3,3.33333,1,1
"57",2,5,12,0.416667,"700 Math SAT",3,3,5,2,"four","To measure college students' intelligence and prove that we are not smart and fail at math.",3,3.66667,1,1
"58",1,7,12,0.583333,"720",3,5,3,5,"1","To understand how long it takes for college students to do simple algebraic problems",3,3.33333,1,1
"59",2,4,8,0.5,"800",2,2,5,1,"0","How one's perception of one's ability determines the amount of perseverance to keep working on the test.",3,3.55556,1,1
"60",1,5,11,0.454545,"750",2,4,5,2,"5","to see how you perform in math and actually try hard when the answers do not count as your grade",2,3.22222,0,0
"61",1,10,12,0.833333,"800/36",5,6,1,7,"0","correlation between math ability and something",2,4.22222,1,1
"62",1,2,12,0.166667,"800",1,2,2,2,"2","Not sure",3,3.33333,1,1
"63",1,4,12,0.333333,"SAT 760",3,5,4,4,"6","I think the goal of the experiment was to check if we were willing to do math problems, even if we didn't really quite have to/w",2,3.77778,0,0
"64",2,3,6,0.5,"SAT 780",6,5,2,5,"0","Perception of ability",1,4,1,1
"67",1,9,12,0.75,"800",6,6,2,5,"0","How certain culture has impact on Math ability",2,4.44444,1,1
"68",2,7,9,0.777778,"780",6,5,5,4,"1 or 2","no idea",3,2.77778,0,0
"70",2,4,12,0.333333,"680",4,5,5,4,"6","to see how long people will try to solve a problem until they give up and just guess",1,4.55556,1,1
"71",2,3,12,0.25,"550 I think!",1,1,5,2,"4","Based on that pretest, I'm thinking it's to see how people who prefer English do on math tests and then see what really are the ",1,1.33333,0,0
"72",2,6,12,0.5,"35 on ACT",4,3,4,2,"5","How ACT/SAT scores relate to student's arithmetic abilities.",3,3.66667,1,1
"73",2,3,10,0.3,"730",4,2,6,2,"3","To test if the generalizations made in the first survey are true",1,3.33333,1,1
"74",1,6,12,0.5,"720",3,1,4,4,"3","To test if your ethnic background has an effect on your mathematics skills.",2,2,1,1
"75",2,5,10,0.5,"770",7,5,2,3,"I did not guess at all on this test. There are a few old materials that I cannot remember so i got stuck on those questions :)","I'm not quite sure. Could be testing under stress?",3,2.77778,1,1
"76",1,6,12,0.5,"A for A levels",6,7,3,6,"1","how does one's perception on how well they do on a test, affects their overall test score. Or maybe it's about how aware are we ",2,4,1,1
"78",1,7,12,0.583333,"800 SAT",6,5,5,4,"1","To compare how well people do and how well they think they do
To see if ethnicity plays a role in math(stereotype)
To see how ",2,4.77778,1,1
"79",2,7,12,0.583333,"780",3,5,5,5,"3","Use demographics (age, gender, culture, ethnicity, major, etc.) to see any trends in mathematical ability",2,2.88889,1,1
"80",2,6,10,0.6,"sat. 750 and 770",1,4,2,4,"1","I have no idea.",1,4,1,1
"81",1,3,11,0.272727,"600",4,2,6,2,"4","Studying whether ethnic backgrounds have an effect on math critical thinking",2,2.33333,1,1
"82",2,7,9,0.777778,"800",7,6,6,5,"1","Comparing what people claim without being tested and the results from being tested, to see whether or not people would boast hig",3,4.44444,0,0
"83",2,6,12,0.5,"790",2,5,5,3,"2","To see how good we are at math compared to  how good we think we are",1,3.77778,1,1
"84",1,4,8,0.5,"740",2,3,6,2,"2","I think the goals of this experiment were to analyze the relationship between social perceptions and math skills",1,3.55556,1,1
"85",2,6,10,0.6,"580",6,5,4,4,"2","compare what people say and how people actually perform on a specific test",1,4.22222,1,1
"86",2,2,12,0.166667,"780",4,5,2,4,"2","The goal of this experiment was to see how well people did on test under time pressure. Knowing the time limit we have makes us ",1,4.44444,1,1
"87",2,8,12,0.666667,"SAT--800",3,2,5,2,"4","To find a correlation between standardized test scores on ACT or SAT math sections and the level of math these problems require",1,3,1,1
"88",2,7,12,0.583333,"unsure",6,5,4,5,"1","To evaluate proficiency in mathematics of subjects and compare it to various variables.",2,3.44444,1,1
"90",1,5,12,0.416667,"680",4,4,4,5,"1","Determining cultural factors on an individual's mathematical abilities??",3,3.44444,0,0
"91",1,7,12,0.583333,"SAT: 780; ACT: 35",7,6,4,5,"1","To determine whether a person's perception of stereotypes on their culture reflects their perception of themselves.",2,3.88889,1,1
"94",2,8,11,0.727273,"800",6,5,6,5,"1-2","Test math skills?",2,4.55556,1,1
"95",1,2,8,0.25,"I think it was around 700.",4,2,4,3,"2","To investigate the possible correlation between ethnic background/nationality and the math skills of subjects.",3,2.22222,1,1
"96",1,3,10,0.3,"SAT 680",2,1,5,3,"0","I think the goals of this experiement to see how your personality correlates with how well your problem solving skills are.",3,2.66667,1,1
"97",1,8,12,0.666667,"650",4,3,4,3,"4","To see the difference between what we expect of our math skills before taking the test and after taking the test",2,3.66667,0,0
"98",1,4,7,0.571429,"800",5,3,5,3,"0","See if being reminded of ethnicity, background, race, country of  (and therefore stereotypes and associations) impacted performa",2,3.22222,1,1
"100",2,3,12,0.25,"I don't remember at all (SAT)",3,4,4,3,"I made educated guesses on at least half","to see perceived ability and actual performance?",3,3.66667,1,1
"101",1,2,12,0.166667,"Around 500 ( I dont remember the exact number)",2,1,4,3,"3","Linking the fact that since I am a first generation student, I am not as bright as the others.",2,1.88889,0,0
"102",1,4,12,0.333333,"650",3,3,5,3,"3","See how much math people my age know.",1,3.66667,1,1
"103",1,3,10,0.3,"760",5,2,6,3,"3","To test our quick thinking skills",2,2.11111,1,1
"104",1,6,10,0.6,"ACT 35",6,3,5,2,"4","To see if ethnicity plays a huge role in determining whether or not one is good at math.",2,4.55556,1,1
"105",2,8,12,0.666667,"didn't take SAT",6,6,3,4,"1","STUDY WHETHER WE WILL OVERESTIMATE OR UNDEREWSTIMATE OURSELVES",3,4,0,0
"106",1,5,9,0.555556,"I don't remember",6,5,5,6,"0","To test if we lost our basic math skills after entering college.",2,3.44444,0,0
"107",1,4,10,0.4,"650",5,4,4,3,"2","To see whether or not cultural stereotypes are fulfilled",3,3.22222,1,1
"108",1,3,9,0.333333,"SAT: 700",2,2,4,3,"2","To determine or challenge a relationship between our ethnic/upbringing background with our math skills",2,2.88889,0,0
"110",2,5,12,0.416667,"720",4,4,5,3,"4","To test how much of the Math SAT we remember",3,3.11111,0,0
"111",2,10,12,0.833333,"800",6,5,1,6,"0","to learn whether stereotypes can affect people's performances in math",3,4.66667,1,1
"114",2,4,12,0.333333,"800",3,2,5,4,"3","Correlation between math skills and SAT scores, and extend to which people will guess on a problem before giving up",3,4.55556,1,1
"115",2,5,12,0.416667,"760",6,5,4,4,"2","see the correlation between SAT scores and the results of this test, also see the correlation between time taken and amount of w",2,3.33333,0,0
"116",1,6,12,0.5,"680",5,4,4,4,"3","see how people think and calculate",1,4,1,1
"117",1,5,7,0.714286,"800",6,5,6,3,"1","race and math performance?",2,4.44444,1,1
"118",2,5,9,0.555556,"800",6,6,5,4,"0","To evaluate whether people's confidence in their mathematical abilities matches up to how well they actually do in a mathematics",3,4.44444,0,0
"119",2,5,12,0.416667,"SAT, 610",2,1,7,1,"6","To see if there is a correlation between people who do well in math and how they answered to the SAT question and the pre-test t",1,1.88889,1,1
"121",2,5,12,0.416667,"540",2,3,5,2,"5","To see how many students retain their math skills after their math cources",1,3.33333,1,1
"122",1,3,11,0.272727,"I forgot",4,4,4,4,"3 times","Testing the stereotypes about Asians are better on math than caucasians or not...",2,3,1,1
"124",1,4,7,0.571429,"800",6,5,2,3,"0","to find the correlation between performance on a math quiz with previous test scores and our own perception of our abilities",2,3.88889,1,1
"125",1,7,12,0.583333,"800 SAT",5,4,5,5,"3","I am really not sure. I thought this experiment was about thinking and making decisions about the world. Not solving math proble",2,3.77778,1,1
"126",1,1,7,0.142857,"Don't remember",2,3,4,2,"3","Many people tend to forget even basic mathematics. Since this experiment made me take a math quiz, I believe the goal of this ex",3,3.11111,0,0
"128",1,6,12,0.5,"dont remember the exact score, but around 730",5,4,3,5,"around 3 to 4","to test whether being raised in the US with the US cultural influences would show different performances on mathematical tasks t",2,3.77778,0,0
"129",2,3,12,0.25,"760",4,3,4,3,"3","to test how people think of their own skills",2,3.55556,0,0
"130",1,3,8,0.375,"I never took it; community college transfer",1,1,1,1,"at least two or three times","Finding patterns between generations lived in America + cultural values with math performance",3,2.11111,1,1
"131",1,9,12,0.75,"800",6,2,4,2,"1","To explore relationship between mathematical proficiency and someone's perception and background?",1,3.22222,1,1
"132",1,4,10,0.4,"780",2,4,5,2,"1","To see whether Asians tend to be better at Math and Science as stereotyped by culture",3,4.77778,1,1
"136",2,7,11,0.636364,"I didn't take SAT before.",7,4,5,2,"2","How well are college students doing on math?",3,4,1,1
"137",2,4,8,0.5,"800",5,2,5,3,"1","To study the relationship between perceived math talent and actual performance.",3,3.33333,1,1
"138",1,5,12,0.416667,"750",3,3,4,4,"2","Problem solving skills or  comparing the confidence or past skills of math of a person to the results of this test.",2,2,0,0
"139",2,1,12,0.0833333,"690 on SAT",2,1,5,1,"at least 3","Honestly clueless",3,1.22222,1,1
